FID,Id,ORIG_FID,Id_1,Z (ft),POINT_X,POINT_Y,Lat,Long
172,0,0,0,217,1275760.629,244196.197,47.6598015,-122.3130035
173,0,0,0,218.2252006,1275761.843,244228.9829,47.6599007,-122.3130035
174,0,0,0,215,1275763.057,244261.7688,47.6599998,-122.3130035
175,0,0,0,216.0579115,1275764.272,244294.5546,47.660099,-122.3130035
176,0,0,0,215.8726816,1275765.486,244327.3405,47.6601982,-122.3130035
177,0,0,0,192.9372026,1275766.7,244360.1263,47.6603012,-122.3130035
178,0,0,0,6.886430667,1275767.914,244392.9122,47.6604004,-122.3130035
179,0,0,0,127.1304324,1275769.128,244425.6981,47.6604996,-122.3130035
180,0,0,0,215,1275770.342,244458.4839,47.6605988,-122.3130035
181,0,0,0,215.5119224,1275771.556,244491.2698,47.6607018,-122.3130035
182,0,0,0,222.7871577,1275772.77,244524.0557,47.6607018,-122.3130035
183,0,0,0,238.5129794,1275773.984,244556.8415,47.6608009,-122.3130035
184,0,0,0,215.7326463,1275775.198,244589.6274,47.6609001,-122.3130035
185,0,0,0,216,1275776.412,244622.4132,47.6609993,-122.3130035
186,0,0,0,195.1170559,1275777.626,244655.1991,47.6610985,-122.3130035
187,0,0,0,233.1753451,1275778.84,244687.985,47.6612015,-122.3130035
188,0,0,0,218.0104713,1275780.023,244720.7719,47.6613007,-122.3130035
189,0,0,0,133.1193984,1275780.99,244753.566,47.6613998,-122.3130035
190,0,0,0,209.3191889,1275781.956,244786.3601,47.661499,-122.3130035
191,0,0,0,190.0545354,1275782.923,244819.1541,47.6615982,-122.3130035
192,0,0,0,174.6804578,1275783.89,244851.9482,47.6615982,-122.3130035
193,0,0,0,170.2169622,1275784.856,244884.7423,47.6617012,-122.3130035
194,0,0,0,165.6384578,1275785.823,244917.5364,47.6618004,-122.3130035
195,0,0,0,217,1275786.789,244950.3305,47.6618996,-122.3130035
196,0,0,0,216.4613932,1275787.756,244983.1246,47.6619987,-122.3130035
197,0,0,0,9.213290322,1275788.723,245015.9187,47.6621017,-122.3130035
198,0,0,0,46.85792701,1275789.689,245048.7128,47.6622009,-122.3130035
199,0,0,0,128.8096196,1275790.656,245081.5069,47.6623001,-122.3130035
200,0,0,0,87.56224899,1275791.624,245114.3009,47.6623993,-122.3130035
201,0,0,0,161.2764116,1275792.592,245147.095,47.6623993,-122.3130035
