Index,Dist. Route (m),Elev. Lidar (ft),Elev. Lidar (m)
285,2850,104.6086963,31.88473062
286,2860,103.5374168,31.55820465
287,2870,108.5922319,33.0989123
288,2880,106.8469788,32.56695914
289,2890,106.0106853,32.31205689
290,2900,107.6080295,32.79892739
291,2910,108.275603,33.00240379
292,2920,109.3563956,33.33182939
293,2930,110.6003097,33.71097439
294,2940,113.6554357,34.6421768
295,2950,112.8392842,34.39341383
296,2960,114.7975029,34.99027889
297,2970,114.8928689,35.01934644
298,2980,116.0273519,35.36513686
299,2990,117.9377324,35.94742085
300,3000,118.2153467,36.03203767
301,3010,119.9224629,36.55236668
302,3020,120.5078619,36.73079632
303,3030,121.7129513,37.09810755
304,3040,122.7585106,37.41679404
305,3050,123.3974101,37.6115306
306,3060,137.519996,41.91609479
307,3070,123.1808704,37.54552931
308,3080,123.4525708,37.62834358
309,3090,123.6385548,37.6850315
310,3100,123.6299559,37.68241057
311,3110,124.6739407,38.00061713
312,3120,123.5101632,37.64589775
313,3130,124.6434526,37.99132434
314,3140,123.7830341,37.72906879
315,3150,128.3754718,39.12884379
316,3160,123.4417775,37.62505379
317,3170,123.6762246,37.69651326
318,3180,127.2401522,38.78279839
319,3190,124.0350376,37.80587947
320,3200,123.822675,37.74115135
321,3210,125.776208,38.33658821
322,3220,128.5218089,39.17344734
323,3230,125.9850422,38.40024086
324,3240,125.5323329,38.26225507
325,3250,128.3830161,39.13114329
326,3260,126.418116,38.53224174
327,3270,124.2108243,37.85945923
328,3280,124.3413338,37.89923855
329,3290,124.3767829,37.91004342
330,3300,124.3242185,37.89402179
331,3310,125.4584076,38.23972262
332,3320,124.6475929,37.99258631
333,3330,125.5607181,38.27090689
334,3340,124.446822,37.93139135
335,3350,131.2258428,39.99763688
336,3360,127.6837304,38.91800103
337,3370,129.995368,39.62258817
338,3380,124.9020749,38.07015244
339,3390,124.8803026,38.06351622
340,3400,124.9963084,38.0988748
341,3410,125.3219383,38.19812679
342,3420,125.1928223,38.15877225
343,3430,125.3219598,38.19813335
344,3440,125.3751609,38.21434906
345,3450,125.5191591,38.2582397
346,3460,125.641862,38.29563955
347,3470,125.716768,38.31847089
348,3480,125.8270237,38.35207683
349,3490,126.2402589,38.47803091
350,3500,135.6574021,41.34837616
351,3510,126.2340813,38.47614797
352,3520,127.0714558,38.73137974
353,3530,128.0257622,39.02225231
354,3540,128.6800384,39.22167571
355,3550,129.4392567,39.45308544
356,3560,130.2279411,39.69347646
357,3570,131.4873259,40.07733695
358,3580,135.0268132,41.15617267
359,3590,132.9031212,40.50887135
360,3600,133.507654,40.69313294
361,3610,135.3770702,41.262931
362,3620,135.6118133,41.33448071
363,3630,135.8428129,41.40488937
364,3640,135.7203419,41.36756021
365,3650,136.6241081,41.64302816
366,3660,136.6241081,41.64302816
367,3670,137.1381683,41.79971369
368,3680,226.655984,69.08474394
369,3690,138.6396748,42.25737289
370,3700,139.32517,42.46631181
371,3710,140.1366258,42.71364354
372,3720,140.8398824,42.92799615
373,3730,141.5438324,43.14256013
374,3740,142.2799691,43.36693458
375,3750,142.9865606,43.58230368
376,3760,152.14201,46.37288466
377,3770,154.9824137,47.23863969
378,3780,144.9656936,44.18554341
379,3790,145.9107312,44.47359086
380,3800,146.8755045,44.76765379
381,3810,147.8045492,45.05082658
382,3820,149.0719421,45.43712796
383,3830,149.6818714,45.62303439
384,3840,150.7834471,45.95879468
385,3850,151.5911095,46.20497019
386,3860,156.0363129,47.55986819
387,3870,157.6379547,48.0480486
388,3880,154.1293285,46.97861934
389,3890,154.140316,46.98196832
390,3900,153.9689021,46.92972136
391,3910,157.218803,47.92029115
392,3920,152.7006041,46.54314414
393,3930,152.0842039,46.35526536
394,3940,151.4202357,46.15288784
395,3950,150.7266749,45.9414905
396,3960,150.2004642,45.78110148
397,3970,149.6374259,45.6094874
398,3980,149.022983,45.42220523
399,3990,148.4130551,45.23629919
400,4000,148.7405236,45.3361116
401,4010,147.2280575,44.87511192
402,4020,146.6152146,44.68831742
403,4030,145.9791412,44.49444224
404,4040,145.3617965,44.30627557
405,4050,144.6804507,44.09860138
406,4060,157.8978783,48.12727331
407,4070,143.4549611,43.72507215
408,4080,142.8808842,43.55009351
409,4090,142.2726679,43.36470917
410,4100,141.6361029,43.17068417
411,4110,141.0387262,42.98860373
412,4120,140.4240384,42.80124689
413,4130,139.7786804,42.60454177
414,4140,139.2131903,42.43218039
415,4150,138.6866595,42.27169381
416,4160,138.0185947,42.06806766
417,4170,137.3627528,41.86816706
418,4180,136.7045897,41.66755893
419,4190,136.0247543,41.46034511
420,4200,135.4005306,41.27008172
421,4210,136.8462661,41.7107419
422,4220,134.0665677,40.86348983
423,4230,136.1532129,41.49949928
424,4240,132.8302962,40.48667429
425,4250,132.1826236,40.28926366
426,4260,131.4982088,40.08065403
427,4270,130.824239,39.87522804
428,4280,130.4590856,39.76392928
429,4290,129.9719484,39.61544988
430,4300,129.315825,39.41546346
431,4310,128.6934675,39.2257689
432,4320,129.3918597,39.43863882
433,4330,127.4987819,38.86162872
434,4340,127.5082893,38.86452657
435,4350,126.276231,38.4889952
436,4360,125.6892834,38.31009359
437,4370,125.0113331,38.10345434
438,4380,124.3828099,37.91188045
439,4390,123.4800512,37.63671959
440,4400,122.7308659,37.40836792
441,4410,122.8972539,37.45908298
442,4420,123.517553,37.64815014
443,4430,123.8754441,37.75723537
444,4440,124.3173752,37.89193597
445,4450,124.6781452,38.00189865
446,4460,125.0972682,38.12964735
447,4470,125.4757952,38.24502237
448,4480,125.8893439,38.37107203
449,4490,126.289398,38.49300852
450,4500,126.3887485,38.52329056
451,4510,126.3534925,38.51254451
452,4520,126.4768567,38.55014593
453,4530,129.6833849,39.52749572
454,4540,128.3084631,39.10841955
455,4550,126.7898778,38.64555474
456,4560,126.9079554,38.68154482
457,4570,127.5770209,38.88547598
458,4580,127.1814558,38.76490773
459,4590,127.3292501,38.80995543
460,4600,141.5741718,43.15180757
461,4610,128.2797267,39.09966069
462,4620,126.6566393,38.60494365
463,4630,125.8894979,38.37111895
464,4640,125.6654936,38.30284244
465,4650,124.1088242,37.82836961
466,4660,123.252692,37.56742052
467,4670,123.3773249,37.60540862
468,4680,121.5460411,37.04723332
469,4690,120.7460218,36.80338746
470,4700,120.6505305,36.77428171
471,4710,120.5372859,36.73976473
472,4720,120.1333603,36.61664821
473,4730,120.4563529,36.71509636
474,4740,119.8900077,36.54247436
475,4750,119.6451622,36.46784543
476,4760,119.2879917,36.35897986
