Index,Dist. Route (m),Elev. Lidar (m)
100,997.8553964,21.0312
101,1007.363156,20.7264
102,1017.364309,21.0312
103,1027.365462,21.336
104,1037.366615,21.75679825
105,1047.367768,22.2504
106,1057.368922,22.61148489
107,1067.370075,23.1648
108,1077.371228,23.7744
109,1087.372381,24.384
110,1097.373534,25.30696611
111,1107.374687,25.2984
112,1117.375841,25.908
113,1127.376994,26.5176
114,1137.378147,27.1272
115,1147.3793,27.50429089
116,1157.380453,28.06293739
117,1167.381606,28.6512
118,1177.382309,29.2608
119,1187.383462,29.8704
120,1197.384615,30.44438673
121,1207.385768,34.01078191
122,1217.386922,31.3156655
123,1227.388075,31.6992
124,1237.389228,32.004
125,1247.38948,32.6136
126,1257.390633,33.2232
127,1267.391786,33.8328
128,1277.392939,34.4424
129,1287.394092,34.7472
130,1297.395246,37.52871469
131,1307.396399,38.66645137
132,1317.397101,35.6616
133,1327.397353,36.21806818
134,1337.398506,37.11691198
135,1347.39966,37.47604847
136,1357.400813,38.03568592
137,1367.401065,38.60045174
138,1377.402218,39.0144
139,1387.403371,39.3192
140,1397.404524,40.29638129
141,1407.405677,41.32477259
142,1417.40683,40.81329364
143,1427.407984,41.57340096
144,1437.409137,41.7576
145,1447.41029,47.57050726
146,1457.411443,46.17223796
147,1467.412146,43.5091849
148,1477.413299,43.8912
149,1487.414452,44.196
150,1497.416056,44.8056
151,1507.417209,45.4152
152,1517.418362,46.07256509
153,1527.419515,49.3776
154,1537.420668,49.70039245
155,1547.421821,47.244
156,1557.422975,48.39643533
157,1567.424128,49.00188567
158,1577.426182,48.4632
159,1587.427786,49.62066035
160,1597.428939,49.07732103
161,1607.430092,49.6824
162,1617.431245,59.77059428
163,1627.432398,66.67254252
164,1637.433552,51.16406379
165,1647.434705,51.2064
166,1657.435858,51.816
167,1667.437011,52.1208
168,1677.438164,53.13259162
169,1687.439768,53.0352
170,1697.440921,53.42940546
171,1707.442074,54.49220408
172,1717.443227,54.2544
173,1727.44438,54.45565301
174,1737.445534,54.5634015
175,1747.446687,55.1608904
176,1757.448291,55.4736
177,1767.450345,55.7784
178,1777.451498,66.45433123
179,1787.452651,56.52188221
180,1797.453804,56.87068603
181,1807.455408,57.3024
182,1817.457462,57.6072
183,1827.458615,58.25136734
184,1837.459769,58.2168
185,1847.460922,58.52228698
186,1857.462075,59.15252133
187,1867.463228,59.436
188,1877.464381,59.7408
189,1887.465534,60.18216532
190,1897.466688,60.08179068
191,1907.467841,61.17921306
192,1917.468994,61.37609757
193,1927.469696,61.39013964
194,1937.47085,61.2648
195,1947.472003,61.55244488
196,1957.473156,61.60385379
197,1967.47476,63.0463581
198,1977.476814,73.68684046
199,1987.477967,68.47655662
200,1997.47912,63.77656531
201,2007.480273,63.0936
202,2017.481426,63.0936
203,2027.48303,63.3984
204,2037.484634,63.93881387
205,2047.485787,64.8270692
206,2057.48694,64.34107682
207,2067.488093,68.25082641
208,2077.489247,64.87910287
209,2087.4904,64.9224
210,2097.492003,65.63255402
211,2107.493157,65.2272
212,2117.49431,65.532
213,2127.495463,65.532
214,2137.496616,65.7722768
215,2147.49822,65.8368
216,2157.499373,66.1416
217,2167.500526,66.1416
218,2177.50258,81.94839754
219,2187.504184,79.93585681
220,2197.505337,66.4464
221,2207.50649,66.7512
222,2217.507644,66.7512
223,2227.508797,67.056
224,2237.50995,67.056
225,2247.511103,67.3608
226,2257.512707,67.3608
227,2267.51386,67.93372219
228,2277.515013,67.9704
229,2287.516166,69.94175538
230,2297.517319,68.2752
231,2307.519374,68.2752
232,2317.520977,68.58
233,2327.522131,71.02039517
234,2337.523284,68.8848
235,2347.524437,68.8848
236,2357.52559,69.1896
