Index,Dist. Route (m),Elev. Lidar (ft),Elev. Lidar (m)
226,2260,50.19778161,15.30028384
227,2270,48.15525303,14.67772112
228,2280,48.13360897,14.67112402
229,2290,48.51591473,14.78765081
230,2300,48.80792096,14.87665431
231,2310,49.03268221,14.94516154
232,2320,49.25574835,15.0131521
233,2330,49.49788013,15.08695386
234,2340,49.62172267,15.12470107
235,2350,53.46088926,16.29487905
236,2360,52.89116201,16.12122618
237,2370,49.93816369,15.22115229
238,2380,50.0874879,15.26666631
239,2390,72.18485958,22.0019452
240,2400,49.94200739,15.22232385
241,2410,49.88639671,15.20537372
242,2420,49.77404892,15.17113011
243,2430,49.60752046,15.12037224
244,2440,49.46667862,15.07744364
245,2450,49.20960992,14.9990891
246,2460,48.78306258,14.86907747
247,2470,48.48826107,14.77922197
248,2480,51.68838514,15.75461979
249,2490,47.85636197,14.58661913
250,2500,47.72272824,14.54588757
251,2510,47.6339606,14.51883119
252,2520,47.17745632,14.37968869
253,2530,46.78793747,14.26096334
254,2540,46.34307019,14.12536779
255,2550,45.95331014,14.00656893
256,2560,45.65719666,13.91631354
257,2570,45.34709173,13.82179356
258,2580,62.48752407,19.04619734
259,2590,55.11080022,16.79777191
260,2600,44.36214271,13.5215811
261,2610,46.51645088,14.17821423
262,2620,43.72762183,13.32817913
263,2630,43.48883219,13.25539605
264,2640,42.89043899,13.0730058
265,2650,42.2572344,12.88000504
266,2660,41.72562407,12.71797022
267,2670,41.48663688,12.64512692
268,2680,41.39887867,12.61837822
269,2690,41.21146885,12.56125571
270,2700,40.92383562,12.4735851
271,2710,40.5292892,12.35332735
272,2720,40.20071498,12.25317793
273,2730,40.05283176,12.20810312
274,2740,54.92826671,16.74213569
275,2750,40.91275107,12.47020653
276,2760,45.99740974,14.02001049
277,2770,50.75921791,15.47140962
278,2780,51.92574522,15.82696714
279,2790,41.26349446,12.57711311
280,2800,41.5052127,12.65078883
281,2810,41.73909089,12.7220749
282,2820,43.00153196,13.10686694
283,2830,42.18154242,12.85693413
284,2840,42.39409702,12.92172077
285,2850,42.52975411,12.96306905
286,2860,42.7070127,13.01709747
287,2870,42.86314767,13.06468741
288,2880,43.08665986,13.13281393
289,2890,43.29376201,13.19593866
290,2900,43.58846288,13.28576349
291,2910,43.73634449,13.3308378
292,2920,43.94817959,13.39540514
293,2930,44.12095816,13.44806805
294,2940,44.34111487,13.51517181
295,2950,44.52209307,13.57033397
296,2960,44.72679037,13.63272571
297,2970,44.90278581,13.68636911
298,2980,45.19275136,13.77475061
299,2990,45.28404974,13.80257836
300,3000,45.52656799,13.87649792
301,3010,45.67037586,13.92033056
302,3020,45.90329015,13.99132284
303,3030,46.1199321,14.0573553
304,3040,46.68452593,14.2294435
305,3050,46.2938489,14.11036514
306,3060,46.15688063,14.06861722
307,3070,46.0414123,14.03342247
308,3080,46.04552267,14.03467531
309,3090,46.00964597,14.02374009
310,3100,45.98712327,14.01687517
311,3110,53.51890599,16.31256255
312,3120,47.21377917,14.39075989
313,3130,45.6077319,13.90123668
314,3140,45.41608389,13.84282237
315,3150,82.98604675,25.29414705
316,3160,51.37913207,15.66035945
317,3170,45.17228849,13.76851353
318,3180,51.85240646,15.80461349
319,3190,45.17549328,13.76949035
320,3200,47.3761387,14.44024707
321,3210,44.71441282,13.62895303
322,3220,44.48959404,13.56042826
323,3230,44.75885513,13.64249904
324,3240,72.14727185,21.99048846
325,3250,43.95600035,13.39778891
326,3260,43.80744314,13.35250867
327,3270,46.67946714,14.22790158
328,3280,43.61614286,13.29420034
329,3290,43.49741486,13.25801205
330,3300,43.48703194,13.25484734
331,3310,43.34520005,13.21161698
332,3320,44.63593303,13.60503239
333,3330,43.04426677,13.11989251
334,3340,44.95154525,13.70123099
335,3350,42.76512937,13.03481143
336,3360,42.55701301,12.97137756
337,3370,42.59718508,12.98362201
338,3380,51.25256098,15.62178059
339,3390,42.3197334,12.89905474
340,3400,42.75236151,13.03091979
341,3410,42.67853387,13.00841712
342,3420,42.80977084,13.04841815
343,3430,42.89617659,13.07475463
344,3440,43.03099685,13.11584784
345,3450,56.06210753,17.08773038
346,3460,43.34426565,13.21133217
347,3470,43.47473789,13.25110011
348,3480,43.60238181,13.29000597
349,3490,43.75371394,13.33613201
350,3500,43.93001808,13.38986951
351,3510,44.12361556,13.44887802
352,3520,46.62164571,14.21027761
353,3530,44.31479865,13.50715063
354,3540,44.74264226,13.63755736
355,3550,44.67126761,13.61580237
356,3560,44.83061674,13.66437198
357,3570,45.00328957,13.71700266
358,3580,46.02463616,14.0283091
359,3590,45.28197273,13.80194529
360,3600,45.45760795,13.8554789
361,3610,45.63526204,13.90962787
362,3620,45.77839424,13.95325456
363,3630,46.01594452,14.02565989
364,3640,48.26667209,14.71168165
365,3650,46.22659246,14.08986538
366,3660,49.92409677,15.21686469
367,3670,46.53291167,14.18323148
368,3680,46.67135856,14.22543009
369,3690,46.78728157,14.26076342
370,3700,46.97891826,14.31917429
371,3710,47.16249935,14.3751298
372,3720,47.37409572,14.43962438
373,3730,47.50627016,14.47991114
374,3740,47.66421975,14.52805418
375,3750,47.76902519,14.55999888
376,3760,47.94972486,14.61507614
377,3770,48.09197951,14.65843536
378,3780,48.2716872,14.71321026
379,3790,48.38601114,14.74805619
380,3800,48.59896554,14.8129647
381,3810,48.81786493,14.87968523
382,3820,48.9144968,14.90913862
383,3830,49.07859158,14.95915471
384,3840,49.26587106,15.0162375
385,3850,49.41438668,15.06150506
386,3860,49.55405558,15.10407614
387,3870,49.72916587,15.15744976
388,3880,49.92935459,15.21846728
389,3890,52.3195796,15.94700786
390,3900,50.49764546,15.39168234
391,3910,51.03216893,15.55460509
392,3920,51.60541515,15.72933054
393,3930,52.1397952,15.89220958
394,3940,52.76396444,16.08245636
395,3950,53.29774062,16.24515134
396,3960,53.87999451,16.42262233
397,3970,54.38885562,16.57772319
398,3980,54.90826922,16.73604046
399,3990,55.45204694,16.90178391
400,4000,56.89462901,17.34148292
401,4010,56.65620196,17.26881036
402,4020,57.2994632,17.46487638
403,4030,57.96527797,17.66781672
404,4040,58.56290155,17.84997239
405,4050,59.12819321,18.02227329
406,4060,59.70257633,18.19734527
407,4070,60.32090939,18.38581318
408,4080,60.82168246,18.53844881
409,4090,61.34616502,18.6983111
410,4100,61.93092632,18.87654634
411,4110,62.59650143,19.07941364
412,4120,63.28099519,19.28804733
413,4130,63.73189766,19.42548241
414,4140,64.22196979,19.57485639
415,4150,64.82735809,19.75937875
416,4160,65.47908698,19.95802571
417,4170,66.16303896,20.16649428
418,4180,67.36511202,20.53288614
419,4190,67.26530206,20.50246407
420,4200,67.74485163,20.64863078
421,4210,73.80689062,22.49634026
422,4220,73.20709498,22.31352255
423,4230,72.07235264,21.96765309
424,4240,79.3173484,24.17592779
425,4250,76.05038235,23.18015654
426,4260,71.19147677,21.69916212
427,4270,80.42458252,24.51341275
428,4280,72.54044451,22.11032749
429,4290,73.03370546,22.26067342
430,4300,73.64774157,22.44783163
431,4310,74.27702889,22.63963841
432,4320,74.8067348,22.80109277
